unique_word,count,stem,syllables,length,weights
80s,2,2.0,0.0,3.0,0.992859121579838
bridger,2,7.0,5.0,7.0,0.992859121579838
onging,2,3.0,0.0,6.0,0.992859121579838
dragge,2,5.0,0.0,6.0,0.992859121579838
90s,2,2.0,0.0,3.0,0.992859121579838
rolandgarros,2,11.0,0.0,12.0,0.992859121579838
palmfirst,2,9.0,0.0,9.0,0.992859121579838
troub,2,5.0,0.0,5.0,0.992859121579838
dashe,2,4.0,0.0,5.0,0.992859121579838
vergeer,2,7.0,0.0,7.0,0.992859121579838
novak,2,5.0,5.0,5.0,0.992859121579838
djokovic,2,6.0,0.0,8.0,0.992859121579838
federer,2,5.0,5.0,7.0,0.992859121579838
martina,2,7.0,7.0,7.0,0.992859121579838
navratilova,2,11.0,11.0,11.0,0.992859121579838
you—and,2,7.0,0.0,7.0,0.992859121579838
sarahs,2,5.0,0.0,6.0,0.992859121579838
520,2,3.0,0.0,3.0,0.992859121579838
snotty,2,6.0,0.0,6.0,0.992859121579838
‘miss,2,5.0,0.0,5.0,0.992859121579838
bénédictus’s,2,11.0,0.0,12.0,0.992859121579838
sci,2,3.0,2.0,3.0,0.992859121579838
annals,2,5.0,5.0,6.0,0.992859121579838
pinecones,2,7.0,0.0,9.0,0.992859121579838
scourging,2,6.0,6.0,9.0,0.992859121579838
eaf,2,3.0,0.0,3.0,0.992859121579838
jewess,2,6.0,4.0,6.0,0.992859121579838
glassmakers,2,8.0,0.0,11.0,0.992859121579838
smay,2,4.0,3.0,4.0,0.992859121579838
nauvoo,2,6.0,0.0,6.0,0.992859121579838
hieroglyphic,2,10.0,10.0,12.0,0.992859121579838
signet,2,6.0,6.0,6.0,0.992859121579838
einsteins,2,8.0,0.0,9.0,0.992859121579838
testimony,2,9.0,9.0,9.0,0.992859121579838
twobeat,2,7.0,0.0,7.0,0.992859121579838
footmarks,2,8.0,0.0,9.0,0.992859121579838
illustrator,2,7.0,9.0,11.0,0.992859121579838
persecutions,2,8.0,11.0,12.0,0.992859121579838
teslas,2,5.0,0.0,6.0,0.992859121579838
mosis,2,4.0,0.0,5.0,0.992859121579838
imprecations,2,6.0,0.0,12.0,0.992859121579838
ringleaders,2,8.0,8.0,11.0,0.992859121579838
unbounded,2,7.0,8.0,9.0,0.992859121579838
ropods,2,5.0,0.0,6.0,0.992859121579838
secondary,2,9.0,9.0,9.0,0.992859121579838
magnify,2,7.0,7.0,7.0,0.992859121579838
dinosaurlike,2,11.0,0.0,12.0,0.992859121579838
mormonism,2,6.0,9.0,9.0,0.992859121579838
birgs,2,4.0,0.0,5.0,0.992859121579838
assuredly,2,9.0,8.0,9.0,0.992859121579838
polygamy,2,8.0,8.0,8.0,0.992859121579838
sorely’,2,7.0,0.0,7.0,0.992859121579838
ari,2,3.0,3.0,3.0,0.992859121579838
‘help,2,5.0,0.0,5.0,0.992859121579838
sparingly,2,9.0,8.0,9.0,0.992859121579838
updown,2,6.0,0.0,6.0,0.992859121579838
reivers,2,6.0,0.0,7.0,0.992859121579838
task’,2,5.0,0.0,5.0,0.992859121579838
antifreeze,2,9.0,8.0,10.0,0.992859121579838
olivertucker,2,10.0,0.0,12.0,0.992859121579838
stilltheres,2,9.0,0.0,11.0,0.992859121579838
tomorrowunless,2,14.0,0.0,14.0,0.992859121579838
oiling,2,3.0,4.0,6.0,0.992859121579838
atchoo,2,6.0,0.0,6.0,0.992859121579838
theatrics,2,8.0,7.0,9.0,0.992859121579838
thataaahhh,2,10.0,0.0,10.0,0.992859121579838
outsid,2,6.0,0.0,6.0,0.992859121579838
sauro,2,5.0,4.0,5.0,0.992859121579838
overcrowded,2,9.0,9.0,11.0,0.992859121579838
owly,2,4.0,0.0,4.0,0.992859121579838
soundwriter,2,9.0,0.0,11.0,0.992859121579838
bunt,2,4.0,4.0,4.0,0.992859121579838
dinobirds,2,8.0,0.0,9.0,0.992859121579838
fatherly,2,8.0,6.0,8.0,0.992859121579838
fer,2,3.0,2.0,3.0,0.992859121579838
purer,2,5.0,5.0,5.0,0.992859121579838
bumpety,2,7.0,0.0,7.0,0.992859121579838
kinetograph,2,11.0,0.0,11.0,0.992859121579838
